worker_id,gender,age,party,voting_for,state,title,source,candidate,flesch,is_complex,fair,trust
nan,female,30-49,independent_other,Bernie Sanders,nan,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,Fox News,clinton,7.5,0,1,-1
nan,female,30-49,independent_other,Bernie Sanders,nan,Trump not backing down from Fox debate boycott,Fox News,trump,11.7,1,1,1
nan,female,30-49,independent_other,Bernie Sanders,nan,The Latest: Bible prominent in Final Cruz Pitches to Voters,Fox News,cruz,7.9,0,1,1.0
nan,female,30-49,independent_other,Bernie Sanders,nan,FACT CHECK: Audio refutes Trump's claim on China tariff,Fox News,trump,5.8,0,0,0.0
nan,female,30-49,independent_other,Bernie Sanders,nan,"Clinton Allies Forming Group to Protect, Register Voters",Fox News,clinton,14.2,1,1,1
nan,female,18-29,democrat,Bernie Sanders,nan,Cruz Looks to Shore Up Support Among Iowa Evangelicals,Fox News,cruz,11.8,1,0,1
nan,female,18-29,democrat,Bernie Sanders,nan,"Sanders tours Roosevelt site, says Bation can learn from FDR",Fox News,sanders,14.1,1,2,1
nan,female,18-29,democrat,Bernie Sanders,nan,The Latest: Sanders says Trump campaign based on division,Fox News,sanders,8,0,1,1
nan,female,18-29,democrat,Bernie Sanders,nan,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,Fox News,clinton,7.5,0,1,1
nan,female,18-29,democrat,Bernie Sanders,nan,Trump not backing down from Fox debate boycott,Fox News,trump,11.7,1,1,0
nan,female,18-29,democrat,Bernie Sanders,nan,The Latest: Bible prominent in Final Cruz Pitches to Voters,Fox News,cruz,7.9,0,1,1.0
nan,female,18-29,democrat,Bernie Sanders,nan,FACT CHECK: Audio refutes Trump's claim on China tariff,Fox News,trump,5.8,0,0,1.0
nan,female,18-29,democrat,Bernie Sanders,nan,"Clinton Allies Forming Group to Protect, Register Voters",Fox News,clinton,14.2,1,0,1
nan,male,18-29,no_affiliation,Donald Trump,nan,Cruz Looks to Shore Up Support Among Iowa Evangelicals,Fox News,cruz,11.8,1,1,-1
nan,male,18-29,no_affiliation,Donald Trump,nan,"Sanders tours Roosevelt site, says Bation can learn from FDR",Fox News,sanders,14.1,1,-2,1
nan,male,18-29,no_affiliation,Donald Trump,nan,The Latest: Sanders says Trump campaign based on division,Fox News,sanders,8,0,0,-1
nan,male,18-29,no_affiliation,Donald Trump,nan,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,Fox News,clinton,7.5,0,1,-1
nan,male,18-29,no_affiliation,Donald Trump,nan,Trump not backing down from Fox debate boycott,Fox News,trump,11.7,1,0,1
nan,male,18-29,no_affiliation,Donald Trump,nan,The Latest: Bible prominent in Final Cruz Pitches to Voters,Fox News,cruz,7.9,0,-1,1.0
nan,male,18-29,no_affiliation,Donald Trump,nan,FACT CHECK: Audio refutes Trump's claim on China tariff,Fox News,trump,5.8,0,2,-1.0
nan,male,18-29,no_affiliation,Donald Trump,nan,"Clinton Allies Forming Group to Protect, Register Voters",Fox News,clinton,14.2,1,2,0
nan,male,18-29,republican,Ted Cruz,nan,Cruz Looks to Shore Up Support Among Iowa Evangelicals,Fox News,cruz,11.8,1,-1,2
nan,male,18-29,republican,Ted Cruz,nan,"Sanders tours Roosevelt site, says Bation can learn from FDR",Fox News,sanders,14.1,1,-1,2
nan,male,18-29,republican,Ted Cruz,nan,The Latest: Sanders says Trump campaign based on division,Fox News,sanders,8,0,-1,0
nan,male,18-29,republican,Ted Cruz,nan,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,Fox News,clinton,7.5,0,-2,0
nan,male,18-29,republican,Ted Cruz,nan,Trump not backing down from Fox debate boycott,Fox News,trump,11.7,1,2,-2
nan,male,18-29,republican,Ted Cruz,nan,The Latest: Bible prominent in Final Cruz Pitches to Voters,Fox News,cruz,7.9,0,0,-1.0
nan,male,18-29,republican,Ted Cruz,nan,FACT CHECK: Audio refutes Trump's claim on China tariff,Fox News,trump,5.8,0,2,1.0
nan,male,18-29,republican,Ted Cruz,nan,"Clinton Allies Forming Group to Protect, Register Voters",Fox News,clinton,14.2,1,-1,-2
nan,male,18-29,independent_other,Hillary Clinton,nan,Cruz Looks to Shore Up Support Among Iowa Evangelicals,Fox News,cruz,11.8,1,1,1
nan,male,18-29,independent_other,Hillary Clinton,nan,"Sanders tours Roosevelt site, says Bation can learn from FDR",Fox News,sanders,14.1,1,0,0
nan,male,18-29,independent_other,Hillary Clinton,nan,The Latest: Sanders says Trump campaign based on division,Fox News,sanders,8,0,1,1
nan,male,18-29,independent_other,Hillary Clinton,nan,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,Fox News,clinton,7.5,0,0,0
nan,male,18-29,independent_other,Hillary Clinton,nan,Trump not backing down from Fox debate boycott,Fox News,trump,11.7,1,-1,-1
nan,male,18-29,independent_other,Hillary Clinton,nan,The Latest: Bible prominent in Final Cruz Pitches to Voters,Fox News,cruz,7.9,0,1,1.0
nan,male,18-29,independent_other,Hillary Clinton,nan,FACT CHECK: Audio refutes Trump's claim on China tariff,Fox News,trump,5.8,0,0,-1.0
nan,male,18-29,independent_other,Hillary Clinton,nan,"Clinton Allies Forming Group to Protect, Register Voters",Fox News,clinton,14.2,1,1,0
nan,male,30-49,democrat,Hillary Clinton,nan,Cruz Looks to Shore Up Support Among Iowa Evangelicals,Fox News,cruz,11.8,1,1,0
nan,male,30-49,democrat,Hillary Clinton,nan,"Sanders tours Roosevelt site, says Bation can learn from FDR",Fox News,sanders,14.1,1,0,0
nan,male,30-49,democrat,Hillary Clinton,nan,The Latest: Sanders says Trump campaign based on division,Fox News,sanders,8,0,1,1
nan,male,30-49,democrat,Hillary Clinton,nan,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,Fox News,clinton,7.5,0,1,1
nan,male,30-49,democrat,Hillary Clinton,nan,Trump not backing down from Fox debate boycott,Fox News,trump,11.7,1,-1,-1
nan,male,30-49,democrat,Hillary Clinton,nan,The Latest: Bible prominent in Final Cruz Pitches to Voters,Fox News,cruz,7.9,0,1,1.0
nan,male,30-49,democrat,Hillary Clinton,nan,FACT CHECK: Audio refutes Trump's claim on China tariff,Fox News,trump,5.8,0,0,0.0
nan,male,30-49,democrat,Hillary Clinton,nan,"Clinton Allies Forming Group to Protect, Register Voters",Fox News,clinton,14.2,1,1,1
nan,female,30-49,republican,Donald Trump,nan,Cruz Looks to Shore Up Support Among Iowa Evangelicals,Fox News,cruz,11.8,1,0,0
nan,female,30-49,republican,Donald Trump,nan,"Sanders tours Roosevelt site, says Bation can learn from FDR",Fox News,sanders,14.1,1,0,0
nan,female,30-49,republican,Donald Trump,nan,The Latest: Sanders says Trump campaign based on division,Fox News,sanders,8,0,-1,-1
nan,female,30-49,republican,Donald Trump,nan,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,Fox News,clinton,7.5,0,-1,-1
nan,female,30-49,republican,Donald Trump,nan,Trump not backing down from Fox debate boycott,Fox News,trump,11.7,1,1,1
nan,female,30-49,republican,Donald Trump,nan,The Latest: Bible prominent in Final Cruz Pitches to Voters,Fox News,cruz,7.9,0,1,1.0
nan,female,30-49,republican,Donald Trump,nan,FACT CHECK: Audio refutes Trump's claim on China tariff,Fox News,trump,5.8,0,1,1.0
nan,female,30-49,republican,Donald Trump,nan,"Clinton Allies Forming Group to Protect, Register Voters",Fox News,clinton,14.2,1,-1,-1
nan,male,30-49,no_affiliation,Ted Cruz,nan,Cruz Looks to Shore Up Support Among Iowa Evangelicals,Fox News,cruz,11.8,1,1,1
nan,male,30-49,no_affiliation,Ted Cruz,nan,"Sanders tours Roosevelt site, says Bation can learn from FDR",Fox News,sanders,14.1,1,1,1
nan,male,30-49,no_affiliation,Ted Cruz,nan,The Latest: Sanders says Trump campaign based on division,Fox News,sanders,8,0,-1,-1
nan,male,30-49,no_affiliation,Ted Cruz,nan,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,Fox News,clinton,7.5,0,0,0
nan,male,30-49,no_affiliation,Ted Cruz,nan,Trump not backing down from Fox debate boycott,Fox News,trump,11.7,1,-1,-1
nan,male,30-49,no_affiliation,Ted Cruz,nan,The Latest: Bible prominent in Final Cruz Pitches to Voters,Fox News,cruz,7.9,0,1,1.0
nan,male,30-49,no_affiliation,Ted Cruz,nan,FACT CHECK: Audio refutes Trump's claim on China tariff,Fox News,trump,5.8,0,-1,-1.0
nan,male,30-49,no_affiliation,Ted Cruz,nan,"Clinton Allies Forming Group to Protect, Register Voters",Fox News,clinton,14.2,1,-1,-1
